feature,mean_importance
PM2.5_out_roll_max_3d,3.1666666666666665
NO2_out_roll_mean_3d,3.1666666666666665
PM2.5_zbe_diff_7d,3.0416666666666665
ICA_out_roll_std_14d,3.0416666666666665
ICA_out_diff_7d,3.0
PM2.5_out_roll_max_14d,3.0
ICA_zbe_lag_1d,3.0
NO2_out_roll_max_14d,2.9166666666666665
PM2.5_zbe_roll_mean_7d,2.75
ICA_zbe_roll_mean_7d,2.625
PM2.5_zbe_roll_mean_3d,2.5833333333333335
PM2.5_out_roll_max_7d,2.5833333333333335
ICA_zbe_diff_7d,2.5
PM10_out_roll_max_3d,2.4583333333333335
PM10_zbe_roll_mean_3d,2.4166666666666665
PM10_zbe_roll_max_7d,2.4166666666666665
ICA_out_roll_mean_3d,2.4166666666666665
PM2.5_out_lag_7d,2.375
PM10_out_roll_mean_3d,2.375
PM2.5_zbe_roll_max_14d,2.2916666666666665
PM2.5_out_diff_7d,2.2916666666666665
PM10_zbe_roll_max_3d,2.2083333333333335
ICA_zbe_roll_mean_3d,2.0833333333333335
ICA_out_roll_max_30d,2.0833333333333335
PM2.5_out_roll_mean_3d,2.0416666666666665
month,1.9166666666666667
day_of_week,1.8333333333333333
ICA_zbe_roll_max_3d,1.8333333333333333
ICA_zbe_roll_max_7d,1.7916666666666667
NO2_zbe_roll_max_30d,1.625
PM10_out_roll_max_7d,1.625
PM10_out_roll_max_30d,1.5833333333333333
PM2.5_out_roll_max_30d,1.4166666666666667
dow_sin,1.4166666666666667
month_cos,1.2083333333333333
NO2_zbe_roll_max_14d,1.2083333333333333
ICA_zbe_roll_max_14d,1.0
ICA_out_roll_max_14d,0.7916666666666666
season,0.20833333333333334
month_sin,0.16666666666666666
traffic_sensors,0.08333333333333333
days_since_zbe,0.08333333333333333
is_workday,0.041666666666666664
is_weekend,0.041666666666666664
is_post_zbe,0.0
snowfall,0.0
